"Timestamp";"age";"gender";"education";"living";"city";"income";"q2_1_waste";"q2_2_eco";"q2_3_energy";"q3_1_lamp";"q3_2_contribution";"q3_3_store";"q3_4_consumption";"q3_5_logic";"q4_1_friends";"q4_2_neighbors";"q4_3_opinion";"q5_1_barriers"
"14.03.2026 16:57";"18-22 года";"Женский";"Высшее (бакалавриат)";"В большой семье (с родителями, бабушками/дедушками)";"Город среднего размера (100 000–1 млн человек)";"Живем комфортно, почти на все хватает";"Часто (несколько раз в неделю)";"Часто";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Может быть, если товары будут значительно дешевле";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Зависит от товара и ситуации";"Половина (30–50%)";"Очень вероятно — если все делают, то и я начну";"Нейтрально";"Это неудобно / нужно искать специальные магазины;Просто не думаю об этом"
"14.03.2026 18:37";"18-22 года";"Мужской";"Высшее (бакалавриат)";"Один/одна";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Редко (несколько раз в год)";"Никогда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Может быть, если товары будут значительно дешевле";"Затрудняюсь ответить / зависит от ситуации";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Скорее да";"Не важно вообще — я выбираю только для себя";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Лень / нет времени / забываю"
"14.03.2026 22:06";"18-22 года";"Мужской";"Высшее (бакалавриат)";"В большой семье (с родителями, бабушками/дедушками)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Иногда (несколько раз в месяц)";"Никогда";"Никогда";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Стараюсь не покупать лишнее, предпочитаю многоразовые вещи, даже если они выглядят менее «модно»";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Очень вероятно — если все делают, то и я начну";"Слабо важно";"Нет инфраструктуры (баков для раздельного сбора в моем районе)"
"14.03.2026 23:20";"18-22 года";"Женский";"Школа";"В большой семье (с родителями, бабушками/дедушками)";"Город среднего размера (100 000–1 млн человек)";"Живем комфортно, почти на все хватает";"Редко (несколько раз в год)";"Никогда";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Стараюсь не покупать лишнее, предпочитаю многоразовые вещи, даже если они выглядят менее «модно»";"Зависит от товара и ситуации";"Почти никто (0–10%)";"Скорее да";"Не важно вообще — я выбираю только для себя";"Лень / нет времени / забываю;Это неудобно / нужно искать специальные магазины;Просто не думаю об этом"
"15.03.2026 3:46";"18-22 года";"Мужской";"Высшее (бакалавриат)";"Один/одна";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Редко (несколько раз в год)";"Никогда";"Иногда";"Опция А: Обычная лампочка за 50 рублей — она ярче, но потребляет больше электричества (~30 руб. в год на счетах)";"Согласен/согласна";"Может быть, если товары будут значительно дешевле";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Зависит от товара и ситуации";"Половина (30–50%)";"Скорее да";"Слабо важно";"Лень / нет времени / забываю;Не верю, что это реально помогает"
"15.03.2026 4:59";"18-22 года";"Мужской";"Школа";"В большой семье (с родителями, бабушками/дедушками)";"Москва или Санкт-Петербург";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Часто (несколько раз в неделю)";"Никогда";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Стараюсь не покупать лишнее, предпочитаю многоразовые вещи, даже если они выглядят менее «модно»";"Зависит от товара и ситуации";"Почти никто (0–10%)";"Скорее да";"Слабо важно";NA
"15.03.2026 12:28";"26-28 лет";"Мужской";"Высшее (магистратура, аспирантура)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Можем позволить себе всё, что захотим";"Часто (несколько раз в неделю)";"Никогда";"Иногда";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Согласен/согласна";"Нет, удобство важнее";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Половина (30–50%)";"Скорее да";"Нейтрально";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Не верю, что это реально помогает;Это неудобно / нужно искать специальные магазины"
"16.03.2026 1:08";"18-22 года";"Женский";"Школа";"В большой семье (с родителями, бабушками/дедушками)";"Москва или Санкт-Петербург";"Живем комфортно, почти на все хватает";"Редко (несколько раз в год)";"Часто";"Иногда";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Стараюсь не покупать лишнее, предпочитаю многоразовые вещи, даже если они выглядят менее «модно»";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Очень вероятно — если все делают, то и я начну";"Не важно вообще — я выбираю только для себя";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Лень / нет времени / забываю;Не верю, что это реально помогает"
"16.03.2026 4:33";"26-28 лет";"Мужской";"Высшее (бакалавриат)";"Один/одна";"Москва или Санкт-Петербург";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Часто (несколько раз в неделю)";"Никогда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Почти никто (0–10%)";"Скорее да";"Не важно вообще — я выбираю только для себя";"Нет инфраструктуры (баков для раздельного сбора в моем районе);Не верю, что это реально помогает"
"16.03.2026 12:35";"26-28 лет";"Женский";"Высшее (магистратура, аспирантура)";"С партнером/партнершей (без детей)";"Москва или Санкт-Петербург";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Никогда";"Никогда";"Никогда";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Может быть, если товары будут значительно дешевле";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Зависит от товара и ситуации";"Немного (10–30%)";"Нейтрально / затрудняюсь ответить";"Слабо важно";"Лень / нет времени / забываю"
"17.03.2026 15:17";"26-28 лет";"Женский";"Высшее (бакалавриат)";"Один/одна";"Москва или Санкт-Петербург";"Можем позволить себе одежду, но не можем позволить себе дорогие товары";"Иногда (несколько раз в месяц)";"Никогда";"Постоянно";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Покупаю новые вещи редко, но когда покупаю, выбираю качественные товары, которые долго служат";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Немного (10–30%)";"Скорее да";"Не важно вообще — я выбираю только для себя";NA
"18.03.2026 15:38";"26-28 лет";"Предпочитаю не указывать";"Высшее (бакалавриат)";"В большой семье (с родителями, бабушками/дедушками)";"Город-миллионник (Новосибирск, Екатеринбург и т.д.)";"Можем позволить себе всё, что захотим";"Иногда (несколько раз в месяц)";"Иногда";"Часто";"Опция Б: LED лампочка за 200 рублей — сначала дороже, но экономит электричество (~5 руб. в год на счетах). За 10 лет окупится.";"Не согласен/не согласна";"Да, если я буду часто ходить туда и мне понравится ассортимент";"Затрудняюсь ответить / зависит от ситуации";"Я выбираю на основе логики и расчётов (даже если LED-лампочка дороже, я посчитаю экономию за годы)";"Немного (10–30%)";"Скорее да";"Нейтрально";"Лень / нет времени / забываю;Это неудобно / нужно искать специальные магазины"
